volume,faction,proportion,absolute,proportion_factions,proportion_factions_including_neutral
1,whig,0.0026619563929620956,3213,0.7725414763164222,0.1925566343042071
1,tory,0.000783756846480592,946,0.22745852368357777,0.0566942346877622
1,other,0.010378564498797439,12527,3.012022120702092,0.7507491310080306
2,whig,0.0014556686213197348,1904,0.7123082678638234,0.08915944743619761
2,tory,0.0005879249841359643,769,0.2876917321361766,0.03601030203699368
2,other,0.01428298381486097,18682,6.989150766928545,0.8748302505268087
3,whig,0.017358398921085424,20156,0.7579723225030084,0.26379091468282534
3,tory,0.0055426997150280705,6436,0.24202767749699158,0.08423091520632386
3,other,0.04290252823237312,49817,1.873382972322503,0.6519781701108508
4,whig,0.017421002334288983,17792,0.7530686531787014,0.25679810634489925
4,tory,0.005712349798687158,5834,0.24693134682129858,0.08420414525720224
4,other,0.04470594225376384,45658,1.9325319563193093,0.6589977483978985
5,whig,0.01627920027344567,22337,0.4228010069845356,0.1688870406774535
5,tory,0.02222401992830068,30494,0.5771989930154644,0.23056101618025102
5,other,0.057887836259099976,79429,1.5034544112358275,0.6005519431422954
6,whig,0.026059877782499744,35566,0.5817045844850428,0.2850068114432246
6,tory,0.018739283987162767,25575,0.41829541551495725,0.20494430643481049
6,other,0.04663682058646815,63649,1.0410199375214668,0.5100488821219649
