header_text,other,tory,whig
THE HISTORY OF GREAT BRITAIN. JAMES I. CHAP. I. In[…],8,1,3
CHAP. II. Gun-powder conspiracy.-Character of the […],7,3,2
CHAP. III. Death of Prince Henry.-Marriage of the […],4,2,1
CHAP. IV. Sir Walter Raleigh's expedition.-His exe[…],11,2,7
CHAP. V. Negotiations with regard to the marriage […],7,2,3
CHAP. VI. Civil government of England during this […],6,0,1
THE HISTORY OF GREAT BRITAIN. CHARLES I. CHAP. I. […],3,0,4
CHAP. II. Third parliament.-Petition of right.-Pro[…],21,6,5
CHAP. III. Peace with France.-Peace with Spain.-St[…],8,0,4
CHAP. IV. Discontents in Scotland.-Introduction of[…],7,2,2
CHAP. V. Meeting of the long parlilament.-Straffor[…],13,5,3
CHAP. VI. Settlement of Scotland.-Conspiracy in Ir[…],20,9,6
CHAP. VII. Commencement of the civil war.-State of[…],13,3,4
CHAP. VIII. Invasion of the Scotch.-Battle of Mars[…],10,3,2
CHAPTER. IX. Montrose's victories.-The new model o[…],7,4,1
CHAP. X. Mutiny of the army.-The King seized by Jo[…],35,10,9
